smiles,doi,id,group,group_name,MIC,lgMIC,scaffold,RAScore,SAScore,QED Score,MolWt,TPSA,HBD,HBA,RotatableBonds,LogP,SAS
O=C(OCC)C1=C(NC(=O)NC1C=2OC=CC2)CN3C=NC=4C=CC=CC43,10.1002/cjoc.202200326,5a,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.1746834544744893,-0.7577482282209619,O=C1NC(Cn2cnc3ccccc32)=CC(c2ccco2)N1,0.5944137,8.975829585839916,0.6762278698406073,366.37700000000007,98.39,2.0,6.0,5.0,2.5006000000000013,3.0046651274319363
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC=C4,10.1002/cjoc.202200326,5b,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.0836721620102236,-1.077419009107044,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.7050626,8.975829585839916,0.664582706602604,382.44500000000016,85.24999999999999,2.0,6.0,5.0,2.969100000000002,2.9886426422248356
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC=C4,10.1002/cjoc.202200326,5c,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.080711878770758,-1.0930625432835803,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.4208116,8.987137334469544,0.648375848493702,396.47200000000015,85.24999999999999,2.0,6.0,5.0,3.2775200000000027,3.1093058078897133
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,10.1002/cjoc.202200326,6a,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.034681504570372,-1.4599020700067744,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.4318979,8.987137334469544,0.5675053493313962,461.3410000000002,85.24999999999999,2.0,6.0,5.0,3.731600000000002,3.130327730966637
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],10.1002/cjoc.202200326,6b,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.0374319790755236,-1.426757210586424,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.19396675,9.009649424080628,0.3535967423679638,427.4420000000002,128.39,2.0,8.0,6.0,2.8773000000000017,3.18248190003764
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,10.1002/cjoc.202200326,6c,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.0767588572525126,-1.1148714994475382,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.25251302,8.987137334469544,0.6218556939069153,416.8900000000002,85.24999999999999,2.0,6.0,5.0,3.6225000000000014,3.089071384812791
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,10.1002/cjoc.202200326,6d,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.1559078097632392,-0.8071321295056508,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.35259497,8.99841176784298,0.6297576244591137,410.49900000000025,85.24999999999999,2.0,6.0,5.0,3.5859400000000026,3.1452533582942426
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,10.1002/cjoc.202200326,6e,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.0084145335824035,-2.0749699519641323,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.2982541,8.99841176784298,0.5459352180465687,475.36800000000017,85.24999999999999,2.0,6.0,5.0,4.040020000000003,3.246316772928388
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],10.1002/cjoc.202200326,6f,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.0362426353832318,-1.4407802301237578,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.20833354,9.020847209361584,0.3434252292113889,441.4690000000002,128.39,2.0,8.0,6.0,3.1857200000000017,3.29423913526446
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,10.1002/cjoc.202200326,6g,CCOC(=O)C1=C(CN2C=NC3=C2C=CC=C3)NC(=O)NC1,pyrimidinone,0.148520480742231,-0.8282136536866526,O=C1NC(Cn2cnc3ccccc32)=CC(c2cccs2)N1,0.26527393,8.99841176784298,0.6003652415891257,430.91700000000014,85.24999999999999,2.0,6.0,5.0,3.930920000000003,3.2060666791197585
