Smiles,LogPReward,HeavyAtomCountReward,NumHAcceptorsReward,NumHDonorsReward,PAINSReward,SureChEMBLReward,GlaxoReward,DockingScore1Reward,DockingScore2Reward,Reward,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,SureChEMBLProperty,GlaxoProperty,DockingScore1Property,DockingScore2Property,Epoch,file_name,SAScore,Lipinski,QED,BRENK,Predicted MIC
NC(=O)NNC(=O)Nc1c2c(cc(-c3ccc4c(c3)OCO4)c1-c1ccc3c(c1)OCO3)NCN2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,8.7,11.1,17.799999999999997,2.9777000000000005,35,8,6,0,0,1,-8.7,-11.1,200,A,3.143126279983898,True,0.3150698277480734,True,0.0454020232129674
NC(=O)NNC(=O)Nc1cc2c(c(-c3cc4c(cc3-c3ccc5c(c3)OCO5)NCN4)c1)OCO2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,9.8,12.0,19.8,2.9777000000000005,35,8,6,0,0,1,-9.8,-12.0,200,A,3.16642175509702,True,0.3150698277480734,True,0.0439509740725523
NC(=O)Nc1cc(NC(=O)Nc2cc3c(cc2-c2cccc4cccnc24)NCN3)c2c(c1)OCO2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,11.0,13.3,23.3,4.560000000000002,36,7,6,0,0,0,-11.0,-13.3,200,A,3.070268318254511,True,0.2488730645169977,False,0.013906991660902453
NC(=O)Nc1c2c(cc(-c3ccc4c(c3)OCO4)c1-c1ccc3c(c1)OCO3)NC(c1ccc3c(c1)OCO3)N2,-0.2335000000000029,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.7,6.1,14.566499999999996,5.233500000000003,40,9,4,0,0,0,-8.7,-6.1,200,A,3.539674889920817,False,0.2753621814218863,False,0.03849186216204072
NC(=O)NC1Nc2cc(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)cc2N1NC(N)=O,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.8,11.1,19.9,2.2450999999999994,35,8,5,0,0,0,-8.8,-11.1,200,A,3.6193060902966527,True,0.3828594732903868,False,0.07134573710216399
NC(=O)NNC(=O)Nc1cc2c(cc1-c1ccc3c(c1)OCO3)NCN2c1ccc2c(c1)OCO2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,10.4,9.6,19.0,3.036900000000001,35,8,5,0,0,1,-10.4,-9.6,200,A,3.0087059179929474,True,0.3623991458316825,True,0.07812851020026995
NC(=O)Nc1c2c(c(NC(N)=O)c(-c3ccc4c(c3)OCO4)c1-c1ccc3c(c1)OCO3)NCN2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,7.5,6.6,13.1,3.254100000000001,35,8,6,0,0,0,-7.5,-6.6,200,A,3.2580060658357866,True,0.3330163914976483,False,0.053226511616940995
NC(=O)Nc1c2c(cc(-c3ccc4c(c3)OCO4)c1-c1ccc3c(c1)OCO3)NC(NC(N)=O)N2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,9.0,11.7,19.7,2.7579,35,8,6,0,0,0,-9.0,-11.7,200,A,3.611439829824452,True,0.3336078649266391,False,0.04949601924787683
NC(=O)Nc1c2c(c(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)c1NC(N)=O)NCN2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,8.6,10.6,18.2,3.2541,35,8,6,0,0,0,-8.6,-10.6,200,A,3.269980932553227,True,0.3330163914976483,False,0.057705073303862306
NC(=O)Nc1cc(-c2c3c(cc(NC(N)=O)c2-c2ccc4c(c2)OCO4)NCN3)cc2c1OCO2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,7.4,12.0,18.4,3.254100000000001,35,8,6,0,0,0,-7.4,-12.0,200,A,3.2726117017839966,True,0.3330163914976483,False,0.043447234502565435
NC(=O)NNC(=O)Nc1c(-c2ccc3c(c2)OCO3)cc2c(c1-c1ccc3c(c1)OCO3)NCN2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,8.6,10.3,16.9,2.9777000000000005,35,8,6,0,0,1,-8.6,-10.3,200,A,3.152832162336839,True,0.3150698277480734,True,0.04273057938524426
NC(=O)Nc1cc(-c2cc(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)c3c2NCN3)cc2c1OCO2,-0.159200000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.3,12.1,20.2408,5.159200000000002,40,9,4,0,0,0,-8.3,-12.1,200,A,3.303943657332619,False,0.2779264327776318,False,0.044682896942100404
NC(=O)NNC(=O)Nc1c(-c2ccc3c(c2)OCO3)cc(-c2ccc3c(c2)OCO3)c2c1NCN2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,10.6,10.3,18.9,2.9777,35,8,6,0,0,1,-10.6,-10.3,200,A,3.194950261884351,True,0.3150698277480734,True,0.06834264199462961
NC(=O)NNC(=O)Nc1cc2c(c(-c3cc(-c4ccc5c(c4)OCO5)cc4c3NCN4)c1)OCO2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,10.2,10.6,18.8,2.9777000000000005,35,8,6,0,0,1,-10.2,-10.6,200,A,3.172611800345889,True,0.3150698277480734,True,0.0272296661303752
NC(=O)NNC(=O)Nc1cc(-c2ccc3c(c2)OCO3)c2c(c1-c1cccc3c1OCO3)NCN2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,11.3,10.7,20.0,2.9777,35,8,6,0,0,1,-11.3,-10.7,200,A,3.286286008490684,True,0.3150698277480734,True,0.12119993499559535
NC(=O)NNC(=O)NC1COc2cc(-c3cc4c(cc3-c3ccc5c(c3)OCO5)NCN4)ccc2O1,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,8.9,13.0,19.9,2.524,36,8,6,0,0,1,-8.9,-13.0,200,A,3.758396444118925,True,0.3058798466342941,True,0.10359448353880912
NC(=O)NN1CNc2cc(-c3ccc4c(c3)OCO4)cc(NC(=O)Nc3ccc4c(c3)OCO4)c21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.1,11.7,21.8,3.2277000000000005,35,8,5,0,0,0,-10.1,-11.7,200,A,3.021514967766704,True,0.3854590505188162,False,0.10603217402047414
NC(=O)Nc1cc2c(c(N3CNc4cc(-c5ccc6c(c5)OCO6)c(-c5ccc6c(c5)OCO6)cc43)c1)OCO2,-0.2184000000000034,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.4,10.9,18.0816,5.218400000000004,40,9,3,0,0,0,-7.4,-10.9,200,A,3.166378598662475,False,0.320673842370565,False,0.03872139386029358
NC(=O)Nc1cc(-c2ccc3c(c2)OCO3)cc2c1NC(c1ccc3c(c1)OCO3)N2c1ccc2c(c1)OCO2,-0.2927000000000026,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.9,-0.0,10.6073,5.292700000000003,40,9,3,0,0,0,-10.9,4.4,200,A,3.4854449029586263,False,0.3176254002504343,False,0.07620495034336092
NC(=O)Nc1cc2c(c(-c3cc4c(cc3-c3ccc5c(c3)OCO5)NC(NC(N)=O)N4)c1)OCO2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,9.5,11.5,20.0,2.757900000000001,35,8,6,0,0,0,-9.5,-11.5,200,A,3.607531375902137,True,0.3336078649266391,False,0.042896936286626816
NC(=O)Nc1c(-c2ccc3c(c2)OCO3)cc2c(c1-c1ccc3c(c1)OCO3)N(NC(N)=O)CN2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.3,11.0,21.3,2.741299999999999,35,8,5,0,0,0,-10.3,-11.0,200,A,3.2410328746705157,True,0.3838268908910186,False,0.07003769392509225
NC(=O)Nc1cc(-c2c3c(cc(-c4ccc5c(c4)OCO5)c2NC(N)=O)NCN3)cc2c1OCO2,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,9.6,12.3,20.9,3.2541,35,8,6,0,0,0,-9.6,-12.3,200,A,3.2914342455768377,True,0.3330163914976483,False,0.02988069413575987
NC(=O)NNC(=O)NN1CNc2cc(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)cc21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,10.6,10.9,20.5,2.4649,35,8,5,0,0,1,-10.6,-10.9,200,A,3.1790882709341237,True,0.3622047577679652,True,0.06986695592847328
NC(=O)NC1Nc2cc(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)c2N1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.2,12.4,19.6,4.663000000000002,40,9,4,0,0,0,-7.2,-12.4,200,A,3.61477032668744,True,0.2925600259486236,False,0.08652489530930503
O=C(Nc1ccc2c(c1)OCO2)NC1Nc2cc(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)cc2N1,-0.1494000000000026,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.9,11.6,19.3506,5.149400000000003,40,9,4,0,0,0,-7.9,-11.6,200,A,3.0253926071863546,False,0.2796061709917599,False,0.05171755234586071
NC(=O)NNC(=O)NC1Nc2cc(-c3ccc4c(c3)OCO4)c(-c3ccc4c(c3)OCO4)cc2N1,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,8.9,10.1,17.0,2.4815000000000005,35,8,6,0,0,1,-8.9,-10.1,200,A,3.104716777721455,True,0.3148647662363221,True,0.05436052096795032
NC(=O)NC1Nc2cc(-c3ccc4c(c3)OCO4)c(-c3nnc(-c4ccc5c(c4)OCO5)o3)cc2N1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.3,10.7,20.0,3.317300000000001,36,10,4,0,0,0,-9.3,-10.7,200,A,3.553642183285419,True,0.3375358422870271,False,0.09608538053061642
NC(=O)Nc1cc2c(c(C3Nc4cc(-c5ccc6c(c5)OCO6)c(-c5ccc6c(c5)OCO6)cc4N3)c1)OCO2,-0.2335000000000029,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.2,9.5,17.466499999999996,5.233500000000003,40,9,4,0,0,0,-8.2,-9.5,200,A,3.121422014568603,False,0.2753621814218863,False,0.004833699013903336
NC(=O)Nc1c(-c2ccc3c(c2)OCO3)c(-c2ccc3c(c2)OCO3)cc2c1N(NC(N)=O)CN2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.3,9.4,18.700000000000003,2.7413,35,8,5,0,0,0,-9.3,-9.4,200,A,3.231230894472496,True,0.3838268908910186,False,0.07003769392509225
NC(=O)Nc1cc2c(c(-c3cc(-c4nnc(-c5ccc6c(c5)OCO6)o4)cc4c3NCN4)c1)OCO2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.2,13.4,23.6,3.813500000000001,36,10,4,0,0,0,-10.2,-13.4,200,A,3.1835830891439985,True,0.3345305688107907,False,0.034703099095795456
NC(=O)Nc1c(O)c(-c2ccc3c(c2)OCO3)c(-c2ccc3c(c2)OCO3)c2c1NCN2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.9,11.9,19.8,3.4691,32,8,5,0,0,0,-7.9,-11.9,200,A,3.146854050088244,True,0.3122735768854945,True,0.19483669654900668
NC(=O)Nc1c2c(cc(-c3ccc4c(c3)OCO4)c1-c1ccc3c(c1)OCO3)N(NC(N)=O)CN2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.5,10.2,17.7,2.7413,35,8,5,0,0,0,-7.5,-10.2,200,A,3.236817337732207,True,0.3838268908910186,False,0.05830908877926554
NC(=O)Nc1cc2c(c(-c3cc4c(cc3-c3nnc(-c5ccc6c(c5)OCO6)o3)NCN4)c1)OCO2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.5,13.2,23.7,3.813500000000001,36,10,4,0,0,0,-10.5,-13.2,200,A,3.2123648017709945,True,0.3345305688107907,False,0.08193898007044398
NC(=O)NC1Nc2cc(-c3ccc4c(c3)OCO4)cc(NC(=O)Nc3ccc4c(c3)OCO4)c2N1,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,9.2,10.7,18.9,3.2443,35,8,6,0,0,0,-9.2,-10.7,200,A,3.406170074885157,True,0.335003758518116,False,0.054489628693532306
NC(=O)NNC(=O)NN1CNc2cc(-c3ccc4c(c3)OCO4)cc(-c3ccc4c(c3)OCO4)c21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,10.5,11.7,21.2,2.4649,35,8,5,0,0,1,-10.5,-11.7,200,A,3.1688149677667035,True,0.3622047577679652,True,0.11652100578811397
NC(=O)NN1c2cc(-c3ccc4c(c3)OCO4)cc(-c3ccc4c(c3)OCO4)c2NC1c1ccc2c(c1)OCO2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.4,10.1,20.5,4.7207000000000034,40,9,3,0,0,0,-10.4,-10.1,200,A,3.58244659787388,True,0.3383701939732957,False,0.08118529097038821
NC(=O)NNC(=O)Nc1cc2c(cc1-c1ccc3c(c1)OCO3)N(c1cccc3c1OCO3)CN2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,9.7,12.6,21.3,3.036900000000001,35,8,5,0,0,1,-9.7,-12.6,200,A,3.1116765062282417,True,0.3623991458316825,True,0.06495903915726323
NC(=O)NNC(=O)NC1Nc2cc(-c3ccc4c(c3)OCO4)cc(-c3ccc4c(c3)OCO4)c2N1,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0,9.7,2.9,10.6,2.4815000000000005,35,8,6,0,0,1,-9.7,-2.9,200,A,3.5614587626679617,True,0.3148647662363221,True,0.08426306899511295
