molecule (Canonical/Isomeric SMILES),bacteria,MIC (µmol mL−1),MIC (µg mL−1),doi,id,type,group,group_name,Unnamed: 9,Molecular weight,MIC,log MIC,S. aureus,E. coli,Unnamed: 15,SAScore,MolWt,TPSA,HBD,HBA,RotatableBonds,LogP,QED Score
O=C(OCC)C1=C(NC(=O)NC1C=2OC=CC2)CN3C=NC=4C=CC=CC43,"E. c. 25922, E. coli25922",,64.0,10.1002/cjoc.202200326 (https://onlinelibrary.wiley.com/doi/epdf/10.1002/cjoc.202200326),5a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,366.37700000000007,174.68345447448937,2.242251771779038,-,+,,8.975829585839916,366.37700000000007,98.39,2.0,6.0,5.0,2.5006000000000013,0.6762278698406073
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c. 25922, E. coli25922",,32.0,10.1002/cjoc.202200326,5b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,382.44500000000016,83.67216201022364,1.922580990892956,-,+,,8.975829585839916,382.44500000000016,85.24999999999999,2.0,6.0,5.0,2.969100000000002,0.664582706602604
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c. 25922, E. coli25922",,32.0,10.1002/cjoc.202200326,5c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,396.47200000000015,80.71187877075806,1.90693745671642,-,+,,8.987137334469544,396.47200000000015,85.24999999999999,2.0,6.0,5.0,3.2775200000000027,0.648375848493702
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c. 25922, E. coli25922",,16.0,10.1002/cjoc.202200326,6a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,461.3410000000002,34.681504570372006,1.5400979299932256,-,+,,8.987137334469544,461.3410000000002,85.24999999999999,2.0,6.0,5.0,3.731600000000002,0.5675053493313962
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c. 25922, E. coli25922",,16.0,10.1002/cjoc.202200326,6b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,427.4420000000002,37.43197907552368,1.573242789413576,-,+,,9.009649424080628,427.4420000000002,128.39,2.0,8.0,6.0,2.8773000000000017,0.35359674236796385
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c. 25922, E. coli25922",,32.0,10.1002/cjoc.202200326,6c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,416.8900000000002,76.75885725251261,1.8851285005524616,-,+,,8.987137334469544,416.8900000000002,85.24999999999999,2.0,6.0,5.0,3.6225000000000014,0.6218556939069153
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c. 25922, E. coli25922",,64.0,10.1002/cjoc.202200326,6d,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,410.49900000000025,155.9078097632393,2.192867870494349,-,+,,8.99841176784298,410.49900000000025,85.24999999999999,2.0,6.0,5.0,3.5859400000000026,0.6297576244591137
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c. 25922, E. coli25922",,4.0,10.1002/cjoc.202200326,6e,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,475.36800000000017,8.414533582403525,0.9250300480358676,-,+,,8.99841176784298,475.36800000000017,85.24999999999999,2.0,6.0,5.0,4.040020000000003,0.5459352180465687
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c. 25922, E. coli25922",,16.0,10.1002/cjoc.202200326,6f,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,441.4690000000002,36.24263538323187,1.5592197698762422,-,+,,9.020847209361584,441.4690000000002,128.39,2.0,8.0,6.0,3.1857200000000017,0.34342522921138896
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c. 25922, E. coli25922",,64.0,10.1002/cjoc.202200326,6g,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,430.91700000000014,148.52048074223106,2.171786346313348,-,+,,8.99841176784298,430.91700000000014,85.24999999999999,2.0,6.0,5.0,3.930920000000003,0.6003652415891257
